,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2862,"'Prepaid', 'Postpaid Roaming', 'DTH HD', 'Prepaid International'",'DSL',0.08414239482200647,0.5544768069039914,0.07659115426105717,0.9102564102564102,1.641649206824304,0.029936147854896088,4.964401294498381
2891,"'Prepaid', 'Postpaid Roaming', 'DTH HD', 'DSL'",'Wireless Broadband',0.10355987055016182,0.6289104638619202,0.10248112189859762,0.9895833333333333,1.573488421955403,0.037351235673414945,35.62459546925541
2892,"'Prepaid', 'Wireless Broadband', 'Postpaid Roaming', 'DTH HD'",'DSL',0.1111111111111111,0.5544768069039914,0.10248112189859762,0.9223300970873787,1.6634241245136188,0.04087258779815414,5.736111111111113
2921,"'DSL', 'Postpaid Roaming', 'DTH HD', 'Prepaid International'",'Wireless Broadband',0.10248112189859762,0.6289104638619202,0.10140237324703344,0.9894736842105264,1.5733140742078182,0.03695092333669642,35.25350593311784
2922,"'Wireless Broadband', 'Postpaid Roaming', 'DTH HD', 'Prepaid International'",'DSL',0.10679611650485436,0.5544768069039914,0.10140237324703344,0.9494949494949495,1.71241598868058,0.04218640357767514,8.821359223300972
2951,"'Prepaid International', 'DTH HD', 'DSL', 'Prepaid'",'Wireless Broadband',0.16828478964401294,0.6289104638619202,0.16073354908306364,0.9551282051282051,1.5187029951180893,0.054897483967141794,8.269995376791481
2980,"'F2H Fiber', 'DTH SD', 'Postpaid Roaming', 'DSL'",'Postpaid',0.09169363538295577,0.5480043149946062,0.08306364617044229,0.9058823529411765,1.6530569708198242,0.03281513832304042,4.802454153182309
3069,"'DTH SD', 'F2H Fiber', 'Postpaid', 'DSL'",'Wireless Broadband',0.17583603020496225,0.6289104638619202,0.16936353829557713,0.9631901840490797,1.531521956455398,0.05877841897573571,10.081265731751166
3096,"'F2H Fiber', 'DTH SD', 'Postpaid Roaming', 'DSL'",'Wireless Broadband',0.09169363538295577,0.6289104638619202,0.09061488673139159,0.9882352941176471,1.5713449702350923,0.032947799969511096,31.542610571736898
3097,"'F2H Fiber', 'DTH SD', 'Wireless Broadband', 'Postpaid Roaming'",'DSL',0.10032362459546926,0.5544768069039914,0.09061488673139159,0.903225806451613,1.6289694991841348,0.034987763708661065,4.603739661992093
3155,"'DTH SD', 'F2H Fiber', 'Prepaid', 'DSL'",'Wireless Broadband',0.15102481121898598,0.6289104638619202,0.14670981661272922,0.9714285714285713,1.5446214163195293,0.051728732534337823,12.988133764832739
3184,"'DSL', 'DTH SD', 'F2H Fiber', 'Prepaid International'",'Wireless Broadband',0.15857605177993528,0.6289104638619202,0.15210355987055016,0.9591836734693877,1.5251513984667622,0.0523734215882392,9.091693635382946
3211,"'DTH SD', 'Postpaid Roaming', 'Prepaid', 'DSL'",'Postpaid',0.07982740021574973,0.5480043149946062,0.07227615965480043,0.9054054054054054,1.652186635454352,0.02853039988176822,4.778240098628447
3271,"'DTH SD', 'Postpaid Roaming', 'Postpaid', 'DSL'",'Wireless Broadband',0.104638619201726,0.6289104638619202,0.10140237324703344,0.9690721649484536,1.540874608760234,0.03559405070700511,11.99856166846458
3272,"'DTH SD', 'Wireless Broadband', 'Postpaid Roaming', 'Postpaid'",'DSL',0.1121898597626753,0.5544768069039914,0.10140237324703344,0.9038461538461537,1.6300882969170905,0.03919569803881866,4.633441208198485
3330,"'DTH SD', 'Postpaid', 'Prepaid', 'DSL'",'Wireless Broadband',0.15426105717367852,0.6289104638619202,0.1488673139158576,0.9650349650349651,1.534455253151651,0.05185092089292927,10.613160733549105
3359,"'DSL', 'DTH SD', 'Postpaid', 'Prepaid International'",'Wireless Broadband',0.16396979503775622,0.6289104638619202,0.15426105717367852,0.9407894736842104,1.4959036742800396,0.05113873731713929,6.267289943665334
3389,"'DTH SD', 'Postpaid Roaming', 'Prepaid', 'DSL'",'Wireless Broadband',0.07982740021574973,0.6289104638619202,0.07874865156418555,0.9864864864864865,1.568564276111446,0.02854436426560724,27.46062567421796
3390,"'DTH SD', 'Wireless Broadband', 'Postpaid Roaming', 'Prepaid'",'DSL',0.08737864077669903,0.5544768069039914,0.07874865156418555,0.9012345679012346,1.6253782965845223,0.030299221834710573,4.510922330097087
3414,"'DSL', 'DTH SD', 'Postpaid Roaming', 'Prepaid International'",'Wireless Broadband',0.08414239482200647,0.6289104638619202,0.08198489751887811,0.9743589743589745,1.549280907771474,0.029066864960917184,14.472491909385164
3415,"'DTH SD', 'Wireless Broadband', 'Postpaid Roaming', 'Prepaid International'",'DSL',0.08629989212513485,0.5544768069039914,0.08198489751887811,0.95,1.7133268482490271,0.03413360889717443,8.910463861920165
3441,"'DSL', 'DTH SD', 'Prepaid', 'Prepaid International'",'Wireless Broadband',0.15210355987055016,0.6289104638619202,0.14347357065803668,0.9432624113475178,1.499835772417065,0.047814050264799624,6.54045307443366
3472,"'F2H Fiber', 'Prepaid', 'Postpaid Roaming', 'Postpaid'",'DSL',0.10355987055016182,0.5544768069039914,0.09600862998921252,0.9270833333333333,1.6719965953307392,0.038587083643168096,6.110032362459541
3501,"'F2H Fiber', 'Postpaid Roaming', 'Postpaid', 'Prepaid International'",'DSL',0.10571736785329018,0.5544768069039914,0.0970873786407767,0.9183673469387755,1.6562772969109822,0.038469550079189695,5.457659115426107
3531,"'F2H Fiber', 'Postpaid Roaming', 'Postpaid', 'DSL'",'Wireless Broadband',0.15102481121898598,0.6289104638619202,0.1488673139158576,0.9857142857142858,1.567336437147758,0.053886229837466215,25.97626752966568
3532,"'F2H Fiber', 'Wireless Broadband', 'Postpaid Roaming', 'Postpaid'",'DSL',0.16181229773462782,0.5544768069039914,0.1488673139158576,0.92,1.6592217898832686,0.05914614775016322,5.56903991370011
3592,"'Prepaid', 'F2H Fiber', 'Postpaid', 'DSL'",'Wireless Broadband',0.1930960086299892,0.6289104638619202,0.18878101402373246,0.9776536312849161,1.554519581820098,0.0673409136663606,16.606256742179006
3593,"'Prepaid', 'Wireless Broadband', 'F2H Fiber', 'Postpaid'",'DSL',0.20604099244875945,0.5544768069039914,0.18878101402373246,0.9162303664921465,1.6524232485179373,0.07453606243941492,5.318433117583598
3621,"'DSL', 'F2H Fiber', 'Postpaid', 'Prepaid International'",'Wireless Broadband',0.21467098166127294,0.6289104638619202,0.20711974110032363,0.964824120603015,1.5341199996552228,0.0721109144460387,10.549545384496827
3622,"'Wireless Broadband', 'F2H Fiber', 'Postpaid', 'Prepaid International'",'DSL',0.2297734627831715,0.5544768069039914,0.20711974110032363,0.9014084507042255,1.6256918945580097,0.0797156851450376,4.518878101402379
3681,"'F2H Fiber', 'Postpaid Roaming', 'Prepaid', 'DSL'",'Wireless Broadband',0.12405609492988134,0.6289104638619202,0.12405609492988134,1.0,1.5900514579759863,0.04603591872263127,inf
3682,"'F2H Fiber', 'Wireless Broadband', 'Postpaid Roaming', 'Prepaid'",'DSL',0.13052858683926646,0.5544768069039914,0.12405609492988134,0.9504132231404958,1.7140720969868475,0.05168102088955452,8.984717727436164
3710,"'F2H Fiber', 'DSL', 'Postpaid Roaming', 'Prepaid International'",'Wireless Broadband',0.1262135922330097,0.6289104638619202,0.12513484358144553,0.9914529914529915,1.5764612745744822,0.04575779474450414,43.417475728155495
3711,"'F2H Fiber', 'Wireless Broadband', 'Postpaid Roaming', 'Prepaid International'",'DSL',0.13160733549083065,0.5544768069039914,0.12513484358144553,0.9508196721311475,1.7148051285322445,0.052161628433347415,9.058971592952165
3739,"'DSL', 'F2H Fiber', 'Prepaid', 'Prepaid International'",'Wireless Broadband',0.19093851132686085,0.6289104638619202,0.1855447680690399,0.9717514124293785,1.545134750123557,0.06546154034135936,13.136569579287992
3740,"'Wireless Broadband', 'F2H Fiber', 'Prepaid', 'Prepaid International'",'DSL',0.2017259978425027,0.5544768069039914,0.1855447680690399,0.9197860962566845,1.6588360140660439,0.07369238091580757,5.554189140596908
3770,"'Prepaid', 'Postpaid Roaming', 'Postpaid', 'Prepaid International'",'DSL',0.09169363538295577,0.5544768069039914,0.08522114347357065,0.9294117647058823,1.6761959258411534,0.0343791493130105,6.3115785688601145
3800,"'Prepaid', 'Postpaid Roaming', 'Postpaid', 'DSL'",'Wireless Broadband',0.11434735706580366,0.6289104638619202,0.11326860841423948,0.9905660377358491,1.5750509725233826,0.04135435904060028,39.33549083063647
3801,"'Prepaid', 'Wireless Broadband', 'Postpaid Roaming', 'Postpaid'",'DSL',0.12081984897518878,0.5544768069039914,0.11326860841423948,0.9375,1.6907830739299612,0.046276804343854325,7.128371089536138
3829,"'DSL', 'Postpaid Roaming', 'Postpaid', 'Prepaid International'",'Wireless Broadband',0.12081984897518878,0.6289104638619202,0.1186623516720604,0.9821428571428571,1.5616576819407006,0.042677484409347294,20.781014023732414
3830,"'Wireless Broadband', 'Postpaid Roaming', 'Postpaid', 'Prepaid International'",'DSL',0.1262135922330097,0.5544768069039914,0.1186623516720604,0.9401709401709402,1.6956001197246333,0.04867984206281878,7.446601941747572
3860,"'DSL', 'Postpaid', 'Prepaid', 'Prepaid International'",'Wireless Broadband',0.17691477885652643,0.6289104638619202,0.16936353829557713,0.9573170731707317,1.5221834079404257,0.05809998266089006,8.694097703806435
3861,"'Wireless Broadband', 'Postpaid', 'Prepaid', 'Prepaid International'",'DSL',0.18770226537216828,0.5544768069039914,0.16936353829557713,0.9022988505747127,1.627297732456729,0.06528698554337163,4.560060917570915
3889,"'DSL', 'Postpaid Roaming', 'Prepaid', 'Prepaid International'",'Wireless Broadband',0.10679611650485436,0.6289104638619202,0.10571736785329018,0.98989898989899,1.573990332137845,0.03855217268357056,36.73786407767007
